id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime,disney
296,Rugrats,1991,0,7.4,0,0,1,1,0
297,Silk Stalkings,1991,16,6.5,0,0,1,0,0
298,Step by Step,1991,0,6.5,0,0,1,0,0
299,Tarzán,1991,,6,0,0,1,0,0
300,The Commish,1991,16,7.1,0,0,1,0,0
301,The Darling Buds of May,1991,7,7.8,0,0,0,1,0
302,The Legend of Prince Valiant,1991,0,7.4,0,0,0,1,0
303,Tropical Heat,1991,,7.9,94,0,0,1,0
304,Absolutely Fabulous,1992,16,8.1,96,1,1,0,0
305,Barney & Friends,1992,0,3.8,0,0,0,1,0
306,Crayon Shin-chan,1992,7,7.9,0,0,1,0,0
307,Goof Troop,1992,0,6.8,0,0,0,0,1
308,Graham Kerr's Kitchen,1992,,,0,0,0,1,0
309,Hangin' with Mr. Cooper,1992,7,6.4,0,0,1,0,0
310,Hearts Afire,1992,7,7,50,0,0,1,0
311,Highlander: The Series,1992,16,7.2,0,0,1,1,0
312,Melrose Place,1992,16,5.8,0,0,1,1,0
313,Renegade,1992,,6,0,0,1,0,0
314,Sailor Moon,1992,16,7.7,90,0,1,0,0
315,"The Prize - The Epic Quest for Oil, Money and Power",1992,,8.3,0,0,0,1,0
316,X-Men,1992,7,8.4,85,0,0,0,1
317,Yu Yu Hakusho,1992,16,8.4,100,0,1,1,0
318,Acapulco H.E.A.T.,1993,16,5.9,0,0,0,1,0
319,Adventures of Sonic the Hedgehog,1993,0,6.2,0,1,0,0,0
320,Animaniacs,1993,0,7.9,0,1,1,0,0
321,Beavis and Butt-head,1993,16,7.5,0,0,0,1,0
322,Black Jack,1993,,7.4,0,0,0,1,0
323,Body & Soul,1993,,8.1,0,0,0,1,0
324,Bonkers,1993,0,6.8,0,0,0,0,1
325,Boy Meets World,1993,0,8.1,0,0,0,0,1
326,"Dr. Quinn, Medicine Woman",1993,7,6.7,0,0,0,1,0
327,Frasier,1993,7,8,93,0,1,0,0
328,Grace Under Fire,1993,7,6.3,0,0,0,1,0
329,Harts of the West,1993,,7,0,0,0,1,0
330,Living Single,1993,7,7.3,0,0,1,0,0
331,Madeline,1993,0,6.9,0,0,1,1,0
332,NYPD Blue,1993,18,7.5,84,0,1,1,0
333,Power Rangers,1993,7,6.4,73,1,0,1,0
334,Saved by the Bell: The College Years,1993,7,6.3,9,0,1,0,0
335,Star Trek: Deep Space Nine,1993,7,7.9,90,1,1,1,0
